ID,Label,Definition,Entity Type
ID,LABEL,A rdfs:comment,TYPE
<urn:local:nmdo_annotations:is-used-by>,is used by,"A relation between an assistive device and a patient, where the patient uses the device in order to accomplish something, such as a task or an activity (e.g. moving, reading).",owl:AnnotationProperty
<urn:local:nmdo_annotations:assesses>,assesses,"A relation between an evaluation procedure and the entity assessed by the procedure that could be a patient or a phenotype. The evaluation procedure could be, for instance, a performance test, a patient reported questionnaire or a scale (non restrictive).",owl:AnnotationProperty
<urn:local:nmdo_annotations:measures>,measures,"A relation between an evaluation procedure and the entity measured by the procedure, such as a structure, a function, an activity or a participation.",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-genetic-mutation>,has genetic mutation,A relation between an organism and a specific gene mutation that exists in the genome of that organism.,owl:AnnotationProperty
<urn:local:nmdo_annotations:affects>,affects,A relation between two entity where the first entity affects the state of the second entity.,owl:AnnotationProperty
<urn:local:nmdo_annotations:is-related-to>,is related to,,owl:AnnotationProperty
<urn:local:nmdo_annotations:has-identifier>,has identifier,,owl:AnnotationProperty
<urn:local:nmdo_annotations:quality-of>,quality of,"a relation between a quality and an independent continuant (the bearer), in which the quality specifically depends on the bearer for its existence",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-quality>,has quality,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-disposition>,has disposition,"a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence",owl:AnnotationProperty
<urn:local:nmdo_annotations:located-in>,located in,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-phenotype>,has phenotype,"A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype).",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-output>,has output,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p.",owl:AnnotationProperty
<urn:local:nmdo_annotations:functionally-related-to>,functionally related to,"A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities.",owl:AnnotationProperty
<urn:local:nmdo_annotations:involved-in>,involved in,"c involved_in p if and only if c enables some process p', and p' is part of p",owl:AnnotationProperty
<urn:local:nmdo_annotations:has-member>,has member,has member is a mereological relation between a collection and an item.,owl:AnnotationProperty
<urn:local:nmdo_annotations:is-evidence-with-support-from>,is evidence with support from,A relationship between a piece of evidence and an entity that plays a role in supporting that evidence.,owl:AnnotationProperty
<urn:local:nmdo_annotations:has-material-basis-in-germline-mutation-in>,has material basis in germline mutation in,,owl:AnnotationProperty
<urn:local:nmdo_annotations:is-causal-germline-mutation-in>,is causal germline mutation in,"Relates a gene to condition, such that a mutation in this gene is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",owl:AnnotationProperty
<urn:local:nmdo_annotations:disease-has-feature>,disease has feature,"A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.",owl:AnnotationProperty
