ID,Label,Definition,Deprecated,Entity Type,Superclass,Superproperty,Domain,Range
ID,LABEL,A rdfs:comment,A owl:deprecated,TYPE,SC %,SP %,DOMAIN,RANGE
http://purl.obolibrary.org/obo/PROMOT_2000001,is used by,"A relation between an assistive device and a patient, where the patient uses the device in order to accomplish something, such as a task or an activity (e.g. moving, reading).",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000002,assesses,"A relation between an evaluation procedure and the entity assessed by the procedure that could be a patient or a phenotype. The evaluation procedure could be, for instance, a performance test, a patient reported questionnaire or a scale (non restrictive).",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000003,measures,"A relation between an evaluation procedure and the entity measured by the procedure, such as a structure, a function, an activity or a participation.",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000004,has genetic mutation,A relation between an organism and a specific gene mutation that exists in the genome of that organism.,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000005,affects,A relation between two entity where the first entity affects the state of the second entity.,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000006,is related to,,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/PROMOT_2000007,has identifier,,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0000080,quality of,"a relation between a quality and an independent continuant (the bearer), in which the quality specifically depends on the bearer for its existence",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0000086,has quality,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0000091,has disposition,"a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0001025,located in,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002200,has phenotype,"A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype).",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002234,has output,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p.",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002328,functionally related to,"A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities.",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002331,involved in,"c involved_in p if and only if c enables some process p', and p' is part of p",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002351,has member,has member is a mereological relation between a collection and an item.,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002614,is evidence with support from,A relationship between a piece of evidence and an entity that plays a role in supporting that evidence.,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0002614,is evidence with support from,A relationship between a piece of evidence and an entity that plays a role in supporting that evidence.,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004003,has material basis in germline mutation in,,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004003,has material basis in germline mutation in,,,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004013,is causal germline mutation in,"Relates a gene to condition, such that a mutation in this gene is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004013,is causal germline mutation in,"Relates a gene to condition, such that a mutation in this gene is sufficient to produce the condition and that can be passed on to offspring[modified from orphanet].",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,"A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.",,owl:ObjectProperty,,,,
http://purl.obolibrary.org/obo/RO_0004029,disease has feature,"A relationship between a disease and some feature of that disease, where the feature is either a phenotype or an isolated disease.",,owl:ObjectProperty,,,,
