NMDO IRI,PROMOT Count,PROMOT IRIs,PROMOT Labels,LLM Scores,Review Note
http://purl.obolibrary.org/obo/HP_0001446,4,http://id.who.int/icd/entity/1867012554 | http://id.who.int/icd/entity/1299345975 | http://id.who.int/icd/entity/338611549 | http://id.who.int/icd/entity/1019379329,Muscles of upper arm | Pain in upper limb | Muscles of lower leg | Structure of upper extremity,0.6878 | 0.6121 | 0.574 | 0.5466,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0001608,8,http://id.who.int/icd/entity/1846694084 | http://id.who.int/icd/entity/388067588 | http://id.who.int/icd/entity/712570723 | http://id.who.int/icd/entity/2069371821 | http://id.who.int/icd/entity/1034220517 | http://id.who.int/icd/entity/1426641453 | http://id.who.int/icd/entity/75971722 | http://id.who.int/icd/entity/151046878,Quality of voice | Voice and speech functions | Voice functions | Rhythm of speech | Alternative vocalization functions | Melody of speech | Reception of spoken language | Speaking,0.4775 | 0.4626 | 0.4518 | 0.3944 | 0.3922 | 0.3896 | 0.3003 | 0.2502,8 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C202084,4,http://purl.obolibrary.org/obo/PROMOT_0100013 | http://id.who.int/icd/entity/1041382491 | http://purl.obolibrary.org/obo/PROMOT_0100014 | http://purl.obolibrary.org/obo/PROMOT_0100007,Assessment using Sydney Swallow Questionnaire (SSQ) | Oral swallowing | 80 ml water swallowing test | Assessment using Dysphagimeter,0.6288 | 0.588 | 0.5465 | 0.5373,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001601,2,http://id.who.int/icd/entity/405925948 | http://id.who.int/icd/entity/1090716697,External ocular muscles | Functions of external muscles of the eye,0.6627 | 0.595,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001467,2,http://id.who.int/icd/entity/1108927576 | http://id.who.int/icd/entity/278512890,Structure of shoulder region | Muscles of shoulder region,0.7516 | 0.7306,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0006264,3,http://id.who.int/icd/entity/1174312718 | http://id.who.int/icd/entity/539470158 | http://id.who.int/icd/entity/1389818830,Manipulation of food in the mouth | Salivation | Chewing,0.502 | 0.4496 | 0.4369,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0004626,3,http://id.who.int/icd/entity/1747603619 | http://id.who.int/icd/entity/1182439715 | http://id.who.int/icd/entity/682314871,Lumbar vertebral column | Cervical vertebral column | Pain in back,0.7197 | 0.5467 | 0.5113,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/NCIT_C100779,4,http://id.who.int/icd/entity/73014515 | http://purl.obolibrary.org/obo/PROMOT_0100004 | http://id.who.int/icd/entity/1228414013 | http://id.who.int/icd/entity/1452836727,Work and employment | Activity related procedure | General tasks and demands | Household tasks,0.4048 | 0.366 | 0.3383 | 0.297,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0034430,3,http://id.who.int/icd/entity/462923277 | http://id.who.int/icd/entity/1748092144 | http://id.who.int/icd/entity/1264948861,Joints | Stability of a single joint | Stability of joint functions,0.7109 | 0.4591 | 0.3653,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0001824,4,http://id.who.int/icd/entity/583874291 | http://purl.obolibrary.org/obo/PROMOT_0032002 | http://id.who.int/icd/entity/862066979 | http://id.who.int/icd/entity/1266389839,Managing diet and fitness | Activity related body function | Weight maintenance functions | Changing and maintaining body position,0.4591 | 0.4533 | 0.4212 | 0.3878,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0008338,2,http://id.who.int/icd/entity/933576740 | http://id.who.int/icd/entity/1278239861,Structure of ankle and foot | Muscles of ankle and foot,0.6064 | 0.5643,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003376,2,http://id.who.int/icd/entity/1328466963 | http://id.who.int/icd/entity/919003335,Gait pattern functions | Crawling,0.5178 | 0.3295,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0005137,2,http://id.who.int/icd/entity/1328675264 | http://id.who.int/icd/entity/871682135,Eating | Preparing meals,0.4667 | 0.3028,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002540,2,http://id.who.int/icd/entity/1550548595 | http://id.who.int/icd/entity/1334556216,Walking | Walking and Moving,0.4919 | 0.4534,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0011446,5,http://id.who.int/icd/entity/134464731 | http://id.who.int/icd/entity/1363559646 | http://id.who.int/icd/entity/882590883 | http://purl.obolibrary.org/obo/PROMOT_0032001 | http://id.who.int/icd/entity/1811133755,Specific mental functions | Mental functions | Global mental functions | abnormal disposition | Mental functions of language,0.5928 | 0.5825 | 0.5031 | 0.4966 | 0.4364,5 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0004347,2,http://id.who.int/icd/entity/495844982 | http://id.who.int/icd/entity/1360101629,Muscles of respiration | Respiratory muscle functions,0.6879 | 0.6359,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0002943,2,http://id.who.int/icd/entity/1364393443 | http://id.who.int/icd/entity/178625206,Thoracic vertebral column | Thoracic cage,0.7083 | 0.5398,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0032443,2,http://purl.obolibrary.org/obo/PROMOT_0010003 | http://id.who.int/icd/entity/1398348540,statement about a patient | Looking after one's health,0.4323 | 0.409,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0008202,2,http://id.who.int/icd/entity/1401748164 | http://id.who.int/icd/entity/213893837,Hip joint | Bones,0.7426 | 0.5655,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/MONDO_0015793,2,http://purl.obolibrary.org/obo/PROMOT_0010064 | http://id.who.int/icd/entity/142318995,Unrecorded handedness | Structure of hand,0.512 | 0.4831,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
