ID,Label,Definition,PROMOT Cross-reference,Associated Phenotype (URI),Associated Phenotype (label),Assesses Phenotype (URI),Assesses Phenotype (label),Assesses Function (URI),Assesses Function (label),Captures Data About (URI),Captures Data About (label),Associated Function (URI),Associated Function (label),Involved In (URI),Involved In (label),Located In (URI),Located In (label),LLM Score,LLM Top Candidates,LLM Match Note
ID,LABEL,A IAO:0000115,A oboInOwl:hasDbXref,A nmdo:associated_phenotype SPLIT=|,A nmdo:associated_phenotype_label SPLIT=|,A nmdo:assesses_phenotype SPLIT=|,A nmdo:assesses_phenotype_label SPLIT=|,A nmdo:assesses_function SPLIT=|,A nmdo:assesses_function_label SPLIT=|,A nmdo:captures_data_about SPLIT=|,A nmdo:captures_data_about_label SPLIT=|,A nmdo:associated_function SPLIT=|,A nmdo:associated_function_label SPLIT=|,A nmdo:involved_in SPLIT=|,A nmdo:involved_in_label SPLIT=|,A nmdo:located_in SPLIT=|,A nmdo:located_in_label SPLIT=|,"","",A rdfs:comment
http://purl.obolibrary.org/obo/HP_0001446,Abnormality of the musculature of the upper limbs,"",http://id.who.int/icd/entity/1019379329|http://id.who.int/icd/entity/1299345975|http://id.who.int/icd/entity/1867012554|http://id.who.int/icd/entity/338611549,http://purl.obolibrary.org/obo/HP_0003326|http://purl.obolibrary.org/obo/HP_0031108|http://purl.obolibrary.org/obo/HP_0008963|http://purl.obolibrary.org/obo/HP_0011727,Myalgia|Triceps weakness|Tibialis muscle weakness|Peroneal muscle weakness,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","","",0.6878,Abnormality of the musculature of the upper limbs [0.547] | Proximal upper limb muscle weakness [0.499] | developing anatomical structure [0.491] || Abnormality of the musculature of the upper limbs [0.612] | upper limb mononeuronitis [0.567] | brachial plexus neuritis [0.556] || Abnormality of the musculature of the upper limbs [0.688] | Distal upper limb muscle weakness [0.68] | Upper limb muscle weakness [0.613] || Abnormality of the musculature of the upper limbs [0.574] | Weak extraocular muscles [0.564] | Distal lower limb muscle weakness [0.559],PROMOT mapping: 'Structure of upper extremity' (LLM score: 0.5466) | Candidates: Abnormality of the musculature of the upper limbs [0.547] | Proximal upper limb muscle weakness [0.499] | developing anatomical structure [0.491] | PROMOT mapping: 'Pain in upper limb' (LLM score: 0.6121) | Candidates: Abnormality of the musculature of the upper limbs [0.612] | upper limb mononeuronitis [0.567] | brachial plexus neuritis [0.556] | PROMOT mapping: 'Muscles of upper arm' (LLM score: 0.6878) | Candidates: Abnormality of the musculature of the upper limbs [0.688] | Distal upper limb muscle weakness [0.68] | Upper limb muscle weakness [0.613] | PROMOT mapping: 'Muscles of lower leg' (LLM score: 0.574) | Candidates: Abnormality of the musculature of the upper limbs [0.574] | Weak extraocular muscles [0.564] | Distal lower limb muscle weakness [0.559]
http://purl.obolibrary.org/obo/HP_0001608,Abnormality of the voice,"",http://id.who.int/icd/entity/1034220517|http://id.who.int/icd/entity/1426641453|http://id.who.int/icd/entity/151046878|http://id.who.int/icd/entity/1846694084|http://id.who.int/icd/entity/2069371821|http://id.who.int/icd/entity/388067588|http://id.who.int/icd/entity/712570723|http://id.who.int/icd/entity/75971722,http://purl.obolibrary.org/obo/HP_0001612|http://purl.obolibrary.org/obo/HP_0001618|http://purl.obolibrary.org/obo/HP_0000183|http://purl.obolibrary.org/obo/HP_0001260|http://purl.obolibrary.org/obo/HP_0001611|http://purl.obolibrary.org/obo/HP_0012473|http://purl.obolibrary.org/obo/HP_6001011|http://purl.obolibrary.org/obo/HP_0001609,Weak cry|Dysphonia|Tongue muscle weakness|Dysarthria|Hypernasal speech|Tongue atrophy|Wet voice|Hoarse voice,"","","","","","","","",http://id.who.int/icd/entity/151046878|http://id.who.int/icd/entity/1896301954,Speaking|Listening,"","",0.4775,Abnormality of the voice [0.392] | larynx [0.35] | Loss of voice [0.343] || Abnormality of the voice [0.39] | Loss of voice [0.355] | Dysarthria [0.33] || Abnormality of the voice [0.25] | Falls [0.242] | Dysphonia [0.236] || Abnormality of the voice [0.478] | Loss of voice [0.465] | Dysphonia [0.391] || Abnormality of the voice [0.394] | Hypernasal speech [0.374] | Dysarthria [0.367] || Abnormality of the voice [0.463] | Dysphonia [0.375] | larynx [0.37] || Abnormality of the voice [0.452] | Loss of voice [0.382] | larynx [0.372] || Abnormality of the voice [0.3] | auditory system [0.29] | Dysphonia [0.278],PROMOT mapping: 'Alternative vocalization functions' (LLM score: 0.3922) | Candidates: Abnormality of the voice [0.392] | larynx [0.35] | Loss of voice [0.343] | PROMOT mapping: 'Melody of speech' (LLM score: 0.3896) | Candidates: Abnormality of the voice [0.39] | Loss of voice [0.355] | Dysarthria [0.33] | PROMOT mapping: 'Speaking' (LLM score: 0.2502) | Candidates: Abnormality of the voice [0.25] | Falls [0.242] | Dysphonia [0.236] | PROMOT mapping: 'Quality of voice' (LLM score: 0.4775) | Candidates: Abnormality of the voice [0.478] | Loss of voice [0.465] | Dysphonia [0.391] | PROMOT mapping: 'Rhythm of speech' (LLM score: 0.3944) | Candidates: Abnormality of the voice [0.394] | Hypernasal speech [0.374] | Dysarthria [0.367] | PROMOT mapping: 'Voice and speech functions' (LLM score: 0.4626) | Candidates: Abnormality of the voice [0.463] | Dysphonia [0.375] | larynx [0.37] | PROMOT mapping: 'Voice functions' (LLM score: 0.4518) | Candidates: Abnormality of the voice [0.452] | Loss of voice [0.382] | larynx [0.372] | PROMOT mapping: 'Reception of spoken language' (LLM score: 0.3003) | Candidates: Abnormality of the voice [0.3] | auditory system [0.29] | Dysphonia [0.278]
http://purl.obolibrary.org/obo/NCIT_C202084,Eating Assessment Tool-10,"",http://id.who.int/icd/entity/1041382491|http://purl.obolibrary.org/obo/PROMOT_0100007|http://purl.obolibrary.org/obo/PROMOT_0100013|http://purl.obolibrary.org/obo/PROMOT_0100014,http://purl.obolibrary.org/obo/HP_0031162,Impaired oropharyngeal swallow response,http://purl.obolibrary.org/obo/HP_0002068|http://purl.obolibrary.org/obo/HP_0200136,Neuromuscular dysphagia|Oral-pharyngeal dysphagia,"","","","","","","","","","",0.6288,Eating Assessment Tool-10 [0.588] | mouth [0.567] | Dysphagia [0.549] || Eating Assessment Tool-10 [0.537] | Dysphagia [0.45] | Nine-Hole Peg Functional Test [0.408] || Eating Assessment Tool-10 [0.629] | 12-Item Multiple Sclerosis Walking Scale Questionnaire [0.469] | European Quality of Life Five Dimension Five Level Scale Questionnaire [0.439] || Eating Assessment Tool-10 [0.547] | Dysphagia [0.357] | Abnormal circulating metabolite concentration [0.294],PROMOT mapping: 'Oral swallowing' (LLM score: 0.588) | Candidates: Eating Assessment Tool-10 [0.588] | mouth [0.567] | Dysphagia [0.549] | PROMOT mapping: 'Assessment using Dysphagimeter' (LLM score: 0.5373) | Candidates: Eating Assessment Tool-10 [0.537] | Dysphagia [0.45] | Nine-Hole Peg Functional Test [0.408] | PROMOT mapping: 'Assessment using Sydney Swallow Questionnaire (SSQ)' (LLM score: 0.6288) | Candidates: Eating Assessment Tool-10 [0.629] | 12-Item Multiple Sclerosis Walking Scale Questionnaire [0.469] | European Quality of Life Five Dimension Five Level Scale Questionnaire [0.439] | PROMOT mapping: '80 ml water swallowing test' (LLM score: 0.5465) | Candidates: Eating Assessment Tool-10 [0.547] | Dysphagia [0.357] | Abnormal circulating metabolite concentration [0.294]
http://purl.obolibrary.org/obo/HP_0002027,Abdominal pain,"",http://id.who.int/icd/entity/1065560247,http://purl.obolibrary.org/obo/HP_0003326,Myalgia,"","","","","","","","","","","","",0.7669,Abdominal pain [0.767] | Abdominal symptom [0.739] | gastritis [0.52],PROMOT mapping: 'Pain in stomach or abdomen' (LLM score: 0.7669) | Candidates: Abdominal pain [0.767] | Abdominal symptom [0.739] | gastritis [0.52]
http://purl.obolibrary.org/obo/HP_0012735,Cough,"",http://id.who.int/icd/entity/1083127119,http://purl.obolibrary.org/obo/HP_0012735|http://purl.obolibrary.org/obo/HP_0012735,Cough|Cough ,"","","","","","","","","","","","",0.6068,Cough [0.607] | Hemoptysis [0.489] | Asthma [0.45],PROMOT mapping: 'Functions of coughing' (LLM score: 0.6068) | Candidates: Cough [0.607] | Hemoptysis [0.489] | Asthma [0.45]
http://purl.obolibrary.org/obo/UBERON_0001601,extra-ocular muscle,"",http://id.who.int/icd/entity/1090716697|http://id.who.int/icd/entity/405925948,http://purl.obolibrary.org/obo/HP_0000544|http://purl.obolibrary.org/obo/HP_0007941|http://purl.obolibrary.org/obo/HP_0000486|http://purl.obolibrary.org/obo/HP_0000651|http://purl.obolibrary.org/obo/HP_0007715|http://purl.obolibrary.org/obo/HP_0007838,External ophthalmoplegia|Limited extraocular movements|Strabismus|Diplopia|Weak extraocular muscles|Progressive ptosis,"","","","","","",http://id.who.int/icd/entity/1090716697|http://id.who.int/icd/entity/1789365017|http://id.who.int/icd/entity/2021370201|http://id.who.int/icd/entity/2022689055,Functions of external muscles of the eye|Power of isolated muscles and muscle groups|Functions of the eyelid|Visual acuity functions,"","","","",0.6627,extra-ocular muscle [0.595] | ocular adnexa [0.573] | immature eye [0.558] || extra-ocular muscle [0.663] | extrinsic ocular pre-muscle mass [0.642] | Weak extraocular muscles [0.631],PROMOT mapping: 'Functions of external muscles of the eye' (LLM score: 0.595) | Candidates: extra-ocular muscle [0.595] | ocular adnexa [0.573] | immature eye [0.558] | PROMOT mapping: 'External ocular muscles' (LLM score: 0.6627) | Candidates: extra-ocular muscle [0.663] | extrinsic ocular pre-muscle mass [0.642] | Weak extraocular muscles [0.631]
http://purl.obolibrary.org/obo/UBERON_0001275,pubis,"",http://id.who.int/icd/entity/1104062484,"","","","","","","","","","","","","","",0.3813,pubis [0.381] | pubic endochondral element [0.297] | precocious puberty [0.276],PROMOT mapping: 'Pubertal functions' (LLM score: 0.3813) | Candidates: pubis [0.381] | pubic endochondral element [0.297] | precocious puberty [0.276]
http://purl.obolibrary.org/obo/UBERON_0001467,shoulder,"",http://id.who.int/icd/entity/1108927576|http://id.who.int/icd/entity/278512890,http://purl.obolibrary.org/obo/HP_0003547|http://purl.obolibrary.org/obo/HP_0008997,Shoulder girdle muscle weakness|Proximal muscle weakness in upper limbs|Proximal upper limb muscle weakness,"","","","","","",http://id.who.int/icd/entity/1521707777|http://id.who.int/icd/entity/1789365017,Endurance of muscle groups|Power of isolated muscles and muscle groups,"","","","",0.7516,shoulder [0.752] | shoulder joint primordium [0.647] | glenohumeral joint [0.579] || shoulder [0.731] | shoulder joint primordium [0.65] | Limited shoulder abduction [0.587],PROMOT mapping: 'Structure of shoulder region' (LLM score: 0.7516) | Candidates: shoulder [0.752] | shoulder joint primordium [0.647] | glenohumeral joint [0.579] | PROMOT mapping: 'Muscles of shoulder region' (LLM score: 0.7306) | Candidates: shoulder [0.731] | shoulder joint primordium [0.65] | Limited shoulder abduction [0.587]
http://purl.obolibrary.org/obo/HP_0001618,Dysphonia,"",http://id.who.int/icd/entity/1109440237,http://purl.obolibrary.org/obo/HP_0001618,Dysphonia,"","","","","","","","","","","","",0.3801,Dysphonia [0.38] | Dysarthria [0.368] | Abnormality of the voice [0.357],PROMOT mapping: 'Speed of speech' (LLM score: 0.3801) | Candidates: Dysphonia [0.38] | Dysarthria [0.368] | Abnormality of the voice [0.357]
http://purl.obolibrary.org/obo/MONDO_0018949,distal myopathy,"",http://id.who.int/icd/entity/1110269994,"","","","","","","","","","","","","","",0.5433,"distal myopathy [0.543] | distal myopathy, Welander type [0.517] | pes [0.488]","PROMOT mapping: 'distal' (LLM score: 0.5433) | Candidates: distal myopathy [0.543] | distal myopathy, Welander type [0.517] | pes [0.488]"
http://purl.obolibrary.org/obo/HP_0034392,Joint contracture,"",http://id.who.int/icd/entity/1131514421,"","","","","","","","","","","","","","",0.3837,Joint contracture [0.384] | Sit to Stand Test [0.382] | Abnormal joint physiology [0.374],PROMOT mapping: 'Maintaining body position' (LLM score: 0.3837) | Candidates: Joint contracture [0.384] | Sit to Stand Test [0.382] | Abnormal joint physiology [0.374]
http://purl.obolibrary.org/obo/UBERON_0000982,skeletal joint,"",http://id.who.int/icd/entity/1134562249,"","","","","","","","","","","","","","",0.6141,skeletal joint [0.614] | Abnormal joint physiology [0.573] | hip [0.528],PROMOT mapping: 'Functions of the joints and bones' (LLM score: 0.6141) | Candidates: skeletal joint [0.614] | Abnormal joint physiology [0.573] | hip [0.528]
http://purl.obolibrary.org/obo/HP_0011804,Abnormal muscle physiology,"",http://id.who.int/icd/entity/1164313611,"","","","","","","","","","","","","","",0.5914,Abnormal muscle physiology [0.591] | Quantitative Muscle Testing [0.553] | muscle structure [0.547],PROMOT mapping: 'Muscle functions' (LLM score: 0.5914) | Candidates: Abnormal muscle physiology [0.591] | Quantitative Muscle Testing [0.553] | muscle structure [0.547]
http://purl.obolibrary.org/obo/MONDO_0004496,myocarditis,"",http://id.who.int/icd/entity/117147127,http://purl.obolibrary.org/obo/HP_0003326,Myalgia,"","","","","","","","","","","","",0.5465,myocarditis [0.547] | thoracic outlet syndrome [0.478] | heart lymphoma [0.441],PROMOT mapping: 'Pain in chest' (LLM score: 0.5465) | Candidates: myocarditis [0.547] | thoracic outlet syndrome [0.478] | heart lymphoma [0.441]
http://purl.obolibrary.org/obo/UBERON_0006264,mouth-foregut junction,"",http://id.who.int/icd/entity/1174312718|http://id.who.int/icd/entity/1389818830|http://id.who.int/icd/entity/539470158,http://purl.obolibrary.org/obo/HP_0008872|http://purl.obolibrary.org/obo/HP_0031146|http://purl.obolibrary.org/obo/HP_0005216|http://purl.obolibrary.org/obo/HP_0030193,Feeding difficulties in infancy|Impaired oral bolus formation|Impaired mastication|Fatigable weakness of chewing muscles,"","","","","","","","",http://id.who.int/icd/entity/1328675264,Eating,"","",0.502,mouth-foregut junction [0.502] | mouth [0.481] | Eating Assessment Tool-10 [0.44] || mouth-foregut junction [0.437] | mouth [0.427] | Eating Assessment Tool-10 [0.422] || mouth-foregut junction [0.45] | mouth [0.438] | Wheezing [0.405],PROMOT mapping: 'Manipulation of food in the mouth' (LLM score: 0.502) | Candidates: mouth-foregut junction [0.502] | mouth [0.481] | Eating Assessment Tool-10 [0.44] | PROMOT mapping: 'Chewing' (LLM score: 0.4369) | Candidates: mouth-foregut junction [0.437] | mouth [0.427] | Eating Assessment Tool-10 [0.422] | PROMOT mapping: 'Salivation' (LLM score: 0.4496) | Candidates: mouth-foregut junction [0.45] | mouth [0.438] | Wheezing [0.405]
http://purl.obolibrary.org/obo/HP_0004626,Lumbar scoliosis,"",http://id.who.int/icd/entity/1182439715|http://id.who.int/icd/entity/1747603619|http://id.who.int/icd/entity/682314871,http://purl.obolibrary.org/obo/HP_0002751|http://purl.obolibrary.org/obo/HP_0003306|http://purl.obolibrary.org/obo/HP_0003307|http://purl.obolibrary.org/obo/HP_0003326,Kyphoscoliosis|Spinal rigidity|Hyperlordosis|Myalgia,"","","","","","","","","","","","",0.7197,Lumbar scoliosis [0.547] | Spinal rigidity [0.54] | Abnormality of the vertebral column [0.535] || Lumbar scoliosis [0.72] | Spinal rigidity [0.572] | Abnormality of the vertebral column [0.528] || Lumbar scoliosis [0.511] | Myalgia [0.51] | Thoracic scoliosis [0.496],PROMOT mapping: 'Cervical vertebral column' (LLM score: 0.5467) | Candidates: Lumbar scoliosis [0.547] | Spinal rigidity [0.54] | Abnormality of the vertebral column [0.535] | PROMOT mapping: 'Lumbar vertebral column' (LLM score: 0.7197) | Candidates: Lumbar scoliosis [0.72] | Spinal rigidity [0.572] | Abnormality of the vertebral column [0.528] | PROMOT mapping: 'Pain in back' (LLM score: 0.5113) | Candidates: Lumbar scoliosis [0.511] | Myalgia [0.51] | Thoracic scoliosis [0.496]
